15 1 10 16 
15 1 10 15 
15 1 11 15 
15 1 12 15 
15 1 13 15 
15 1 13 16 
15 1 12 16 
15 1 11 16 
15 1 11 17 
15 1 10 17 
15 1 9 17 
15 1 9 16 
15 1 10 16 
15 1 10 15 
15 1 11 15 
15 1 12 15 
15 1 13 15 
15 1 13 16 
15 1 12 16 
15 1 11 16 
15 1 11 17 

12 12 12 2 
12 12 12 1 
12 12 13 1 
12 12 14 1 
12 12 15 1 
12 12 15 2 
12 12 14 2 
12 12 13 2 
12 12 13 3 
12 12 12 3 
12 12 11 3 
12 12 11 2 
12 12 12 2 
12 12 12 1 
12 12 13 1 
12 12 14 1 
12 12 15 1 
12 12 15 2 
12 12 14 2 
12 12 13 2 
12 12 13 3 

6 11 18 5 
6 11 18 4 
6 11 18 3 
6 11 17 3 
6 11 17 2 
6 11 18 2 
6 11 19 2 
6 11 19 3 
6 11 19 4 
6 11 19 5 
6 11 18 5 
6 11 18 4 
6 11 18 3 
6 11 17 3 
6 11 17 2 
6 11 18 2 
6 11 19 2 
6 11 19 3 
6 11 19 4 
6 11 19 5 
6 11 18 5 

19 11 11 11 
19 11 11 12 
19 11 12 12 
19 11 12 13 
19 11 12 14 
19 11 11 14 
19 11 11 13 
19 11 10 13 
19 11 10 12 
19 11 10 11 
19 11 10 10 
19 11 11 10 
19 11 11 11 
19 11 11 12 
19 11 12 12 
19 11 12 13 
19 11 12 14 
19 11 11 14 
19 11 11 13 
19 11 10 13 
19 11 10 12 

18 3 17 10 
18 3 17 9 
18 3 16 9 
18 3 15 9 
18 3 14 9 
18 3 14 10 
18 3 14 11 
18 3 15 11 
18 3 16 11 
18 3 17 11 
18 3 17 10 
18 3 17 9 
18 3 16 9 
18 3 15 9 
18 3 14 9 
18 3 14 10 
18 3 14 11 
18 3 15 11 
18 3 16 11 
18 3 17 11 
18 3 17 10 

13 8 4 15 
13 8 4 14 
13 8 3 14 
13 8 2 14 
13 8 1 14 
13 8 1 15 
13 8 2 15 
13 8 3 15 
13 8 3 16 
13 8 4 16 
13 8 5 16 
13 8 5 15 
13 8 4 15 
13 8 4 14 
13 8 3 14 
13 8 2 14 
13 8 1 14 
13 8 1 15 
13 8 2 15 
13 8 3 15 
13 8 3 16 

17 12 15 12 
17 12 14 12 
17 12 13 12 
17 12 12 12 
17 12 12 11 
17 12 13 11 
17 12 14 11 
17 12 15 11 
17 12 16 11 
17 12 16 12 
17 12 16 13 
17 12 15 13 
17 12 15 12 
17 12 14 12 
17 12 13 12 
17 12 12 12 
17 12 12 11 
17 12 13 11 
17 12 14 11 
17 12 15 11 
17 12 16 11 

12 17 8 14 
12 17 8 15 
12 17 7 15 
12 17 6 15 
12 17 5 15 
12 17 5 14 
